questionname,questiontext,A,B,C,D,Answer 1,Answer 2,answernumbering,correctfeedback,partiallycorrectfeedback,incorrectfeedback,defaultmark
4E 施術所,施術所について誤っているのはどれか。,施術室の専用面積は6.6平方メートル以上でなければならない。,施術に用いる器具、手指等の消毒設備を有しなければならない。,保健所を設置する市に所在する場合は市長が業務を監督する。,休止する場合は都道府県知事の許可を受けなければならない。,D,,123,「施術室の専用面積は6.6平方メートル以上でなければならない。」は施術室の専用面積は6.6平方メートル以上で正しい。「施術に用いる器具、手指等の消毒設備を有しなければならない。」は消毒設備を有しなければならないのは正しい。「保健所を設置する市に所在する場合は市長が業務を監督する。」は保健所設置市では市長が監督するのは正しい。「休止する場合は都道府県知事の許可を受けなければならない。」は休止する場合は届出制であり許可を受ける必要はない。,,「施術室の専用面積は6.6平方メートル以上でなければならない。」は施術室の専用面積は6.6平方メートル以上で正しい。「施術に用いる器具、手指等の消毒設備を有しなければならない。」は消毒設備を有しなければならないのは正しい。「保健所を設置する市に所在する場合は市長が業務を監督する。」は保健所設置市では市長が監督するのは正しい。「休止する場合は都道府県知事の許可を受けなければならない。」は休止する場合は届出制であり許可を受ける必要はない。,1.0000000
4E 施術所,柔道整復師の施術所の構造設備基準で専用でなければならないと規定されているのはどれか。,受付,更衣室,待合室,施術室,D,,123,施術所の構造設備基準で「専用」と規定されているのは施術室。受付、更衣室、待合室については専用の規定はない。,,施術所の構造設備基準で「専用」と規定されているのは施術室。受付、更衣室、待合室については専用の規定はない。,1.0000000
4E 施術所,施術所について正しいのはどれか。,施術室の面積は8平方メートル以上でなければならない。,柔道整復師以外の者は開設することができない。,開設するときは保健所長の許可を受けなければならない。,休止したときは都道府県知事に届け出なければならない。,D,,123,「施術室の面積は8平方メートル以上でなければならない。」は誤りで、施術室は6.6平方メートル以上（8平方メートルではない）。「柔道整復師以外の者は開設することができない。」は誤りで、柔道整復師以外の者も開設できる。「開設するときは保健所長の許可を受けなければならない。」は誤りで、開設は届出制であり許可制ではない。「休止したときは都道府県知事に届け出なければならない。」は正しく、休止したときは都道府県知事に届け出る。,,「施術室の面積は8平方メートル以上でなければならない。」は誤りで、施術室は6.6平方メートル以上（8平方メートルではない）。「柔道整復師以外の者は開設することができない。」は誤りで、柔道整復師以外の者も開設できる。「開設するときは保健所長の許可を受けなければならない。」は誤りで、開設は届出制であり許可制ではない。「休止したときは都道府県知事に届け出なければならない。」は正しく、休止したときは都道府県知事に届け出る。,1.0000000
4E 施術所,誤っているのはどれか。,施術所を開設した者は、開設後10日以内に届け出なければならない。,施術所の開設者は、柔道整復師でなくてもよい。,施術所の開設の際の届出事項には、施術所の平面図が含まれる。,施術所の開設の届出は、柔道整復師の住所地の都道府県知事に行う。,D,,123,「施術所を開設した者は、開設後10日以内に届け出なければならない。」は開設後10日以内の届出は正しい。「施術所の開設者は、柔道整復師でなくてもよい。」は開設者は柔道整復師でなくてもよいのは正しい。「施術所の開設の際の届出事項には、施術所の平面図が含まれる。」は届出事項に平面図が含まれるのは正しい。「施術所の開設の届出は、柔道整復師の住所地の都道府県知事に行う。」は届出先は施術所の所在地の都道府県知事であり、柔道整復師の住所地ではない。,,「施術所を開設した者は、開設後10日以内に届け出なければならない。」は開設後10日以内の届出は正しい。「施術所の開設者は、柔道整復師でなくてもよい。」は開設者は柔道整復師でなくてもよいのは正しい。「施術所の開設の際の届出事項には、施術所の平面図が含まれる。」は届出事項に平面図が含まれるのは正しい。「施術所の開設の届出は、柔道整復師の住所地の都道府県知事に行う。」は届出先は施術所の所在地の都道府県知事であり、柔道整復師の住所地ではない。,1.0000000
4E 施術所,施術所の届出事項でないのはどれか。,開設者の住所,業務に従事する柔道整復師の氏名,構造設備の平面図,施術の方法,D,,123,施術所の届出事項は、開設者の住所・氏名、業務に従事する柔道整復師の氏名、構造設備の平面図などが含まれるが、「施術の方法」は含まれない。,,施術所の届出事項は、開設者の住所・氏名、業務に従事する柔道整復師の氏名、構造設備の平面図などが含まれるが、「施術の方法」は含まれない。,1.0000000
4E 施術所,施術所に関する法規で正しいのはどれか。,柔道整復師でなければ開設できない。,休止した場合は5日以内に届けなければならない。,専用の6.6平方メートル以上の施術室を有しなければならない。,換気に関する規定はない。,C,,123,「柔道整復師でなければ開設できない。」は誤りで、柔道整復師以外も開設できる。「休止した場合は5日以内に届けなければならない。」は誤りで、休止の届出は10日以内。「専用の6.6平方メートル以上の施術室を有しなければならない。」は正しく、専用の6.6平方メートル以上の施術室を有しなければならない。「換気に関する規定はない。」は誤りで、換気を十分にすることという規定がある。,,「柔道整復師でなければ開設できない。」は誤りで、柔道整復師以外も開設できる。「休止した場合は5日以内に届けなければならない。」は誤りで、休止の届出は10日以内。「専用の6.6平方メートル以上の施術室を有しなければならない。」は正しく、専用の6.6平方メートル以上の施術室を有しなければならない。「換気に関する規定はない。」は誤りで、換気を十分にすることという規定がある。,1.0000000
4E 施術所,施術所を開設したときに届け出なければならない期限はどれか。,直ちに,5日以内,10日以内,30日以内,C,,123,施術所を開設したときは、開設後10日以内に都道府県知事（保健所設置市は市長、特別区は区長）に届け出なければならない。,,施術所を開設したときは、開設後10日以内に都道府県知事（保健所設置市は市長、特別区は区長）に届け出なければならない。,1.0000000
4E 施術所,専用の施術室の基準で正しいのはどれか。,3.3平方メートル以上,6.6平方メートル以上,9.9平方メートル以上,13.2平方メートル以上,B,,123,専用の施術室の面積基準は6.6平方メートル以上。待合室は3.3平方メートル以上。,,専用の施術室の面積基準は6.6平方メートル以上。待合室は3.3平方メートル以上。,1.0000000
4E 施術所,休止した施術所を再開したときの法律上規定する届出で正しいのはどれか。,5日以内,10日以内,20日以内,30日以内,B,,123,休止した施術所を再開したときは、再開後10日以内に届け出なければならない。開設・廃止・休止・再開いずれも10日以内。,,休止した施術所を再開したときは、再開後10日以内に届け出なければならない。開設・廃止・休止・再開いずれも10日以内。,1.0000000
4E 施術所,施術所の衛生について法律上規定されていないのはどれか。,室温を適温に保つこと,換気を充分にすること,常に清潔に保つこと,照明を充分にすること,A,,123,施術所の衛生について法律上規定されているのは、(1)常に清潔に保つこと、(2)換気を充分にすること。「室温を適温に保つこと」は規定されていない。照明については構造設備基準の中で間接的に関連する。,,施術所の衛生について法律上規定されているのは、(1)常に清潔に保つこと、(2)換気を充分にすること。「室温を適温に保つこと」は規定されていない。照明については構造設備基準の中で間接的に関連する。,1.0000000
4E 施術所,施術所の開設の届出で誤っているのはどれか。,開設後10日以内に届け出る。,構造設備の立面図を提出する。．,法人が開設者として届け出ることができる。,保健所を設置する市にあっては市長に届け出る。,B,,123,「開設後10日以内に届け出る。」は開設後10日以内の届出は正しい。「構造設備の立面図を提出する。．」は提出するのは構造設備の「平面図」であり「立面図」ではない。「法人が開設者として届け出ることができる。」は法人も開設者として届け出ることができるのは正しい。「保健所を設置する市にあっては市長に届け出る。」は保健所設置市では市長に届け出るのは正しい。,,「開設後10日以内に届け出る。」は開設後10日以内の届出は正しい。「構造設備の立面図を提出する。．」は提出するのは構造設備の「平面図」であり「立面図」ではない。「法人が開設者として届け出ることができる。」は法人も開設者として届け出ることができるのは正しい。「保健所を設置する市にあっては市長に届け出る。」は保健所設置市では市長に届け出るのは正しい。,1.0000000
4E 施術所,開設時の立入検査で正しいのはどれか。,厚生労働大臣の代理で地方厚生局が行う。,裁判官が発する令状が必要である。,立入検査を拒めない。,弁護士が立ち会う。,C,,123,「厚生労働大臣の代理で地方厚生局が行う。」は誤りで、立入検査は都道府県知事の権限であり厚生労働大臣の代理ではない。「裁判官が発する令状が必要である。」は誤りで、行政検査であり裁判官の令状は不要。「立入検査を拒めない。」は正しく、正当な理由なく立入検査を拒むことはできない。「弁護士が立ち会う。」は誤りで、弁護士の立ち会いは不要。,,「厚生労働大臣の代理で地方厚生局が行う。」は誤りで、立入検査は都道府県知事の権限であり厚生労働大臣の代理ではない。「裁判官が発する令状が必要である。」は誤りで、行政検査であり裁判官の令状は不要。「立入検査を拒めない。」は正しく、正当な理由なく立入検査を拒むことはできない。「弁護士が立ち会う。」は誤りで、弁護士の立ち会いは不要。,1.0000000
4E 施術所,施術所の届け出について正しい組合せはどれか。,開設 - 厚生労働大臣,開設場所の変更 - 所在地の都道府県知事,休止 - 所在地の市町村長,廃止 - 厚生労働大臣,B,,123,「開設 - 厚生労働大臣」は誤りで、開設届は都道府県知事（厚生労働大臣ではない）。「開設場所の変更 - 所在地の都道府県知事」は正しく、開設場所の変更は所在地の都道府県知事に届け出る。「休止 - 所在地の市町村長」は誤りで、休止届は都道府県知事（市町村長ではない）。「廃止 - 厚生労働大臣」は誤りで、廃止届は都道府県知事（厚生労働大臣ではない）。,,「開設 - 厚生労働大臣」は誤りで、開設届は都道府県知事（厚生労働大臣ではない）。「開設場所の変更 - 所在地の都道府県知事」は正しく、開設場所の変更は所在地の都道府県知事に届け出る。「休止 - 所在地の市町村長」は誤りで、休止届は都道府県知事（市町村長ではない）。「廃止 - 厚生労働大臣」は誤りで、廃止届は都道府県知事（厚生労働大臣ではない）。,1.0000000
4E 施術所,施術所の構造設備基準で誤っているのはどれか。,待合室は3.3平方メートル以上あること,施術室の専用面積は5.5平方メートル以上あること,施術用器具，手指等の消毒設備を有すること,室面積1/7以上に相当する部分を外気に開放すること,B,,123,「待合室は3.3平方メートル以上あること」は待合室は3.3平方メートル以上（正しい）。「施術室の専用面積は5.5平方メートル以上あること」は施術室の専用面積は6.6平方メートル以上であり、5.5ではない。「施術用器具，手指等の消毒設備を有すること」は消毒設備を有すること（正しい）。「室面積1/7以上に相当する部分を外気に開放すること」は室面積の7分の1以上を外気に開放できること（正しい）。,,「待合室は3.3平方メートル以上あること」は待合室は3.3平方メートル以上（正しい）。「施術室の専用面積は5.5平方メートル以上あること」は施術室の専用面積は6.6平方メートル以上であり、5.5ではない。「施術用器具，手指等の消毒設備を有すること」は消毒設備を有すること（正しい）。「室面積1/7以上に相当する部分を外気に開放すること」は室面積の7分の1以上を外気に開放できること（正しい）。,1.0000000
4E 施術所,柔道整復師法に定められた施術所の立ち入り検査で誤っているのはどれか。,都道府県知事は必要に応じて開設者に立ち入り検査を求めることができる。,都道府県知事は職員に施術所の立ち入り検査を命じることができる,立ち入り検査をする職員は身分証明書を携帯しなければならない。,立ち入り検査の権限は犯罪捜査に使うことができる。,D,,123,「都道府県知事は必要に応じて開設者に立ち入り検査を求めることができる。」は都道府県知事は立入検査を求めることができる（正しい）。「都道府県知事は職員に施術所の立ち入り検査を命じることができる」は職員に立入検査を命じることができる（正しい）。「立ち入り検査をする職員は身分証明書を携帯しなければならない。」は身分証明書の携帯義務がある（正しい）。「立ち入り検査の権限は犯罪捜査に使うことができる。」は立入検査の権限は犯罪捜査には使用できない。,,「都道府県知事は必要に応じて開設者に立ち入り検査を求めることができる。」は都道府県知事は立入検査を求めることができる（正しい）。「都道府県知事は職員に施術所の立ち入り検査を命じることができる」は職員に立入検査を命じることができる（正しい）。「立ち入り検査をする職員は身分証明書を携帯しなければならない。」は身分証明書の携帯義務がある（正しい）。「立ち入り検査の権限は犯罪捜査に使うことができる。」は立入検査の権限は犯罪捜査には使用できない。,1.0000000
4E 施術所,都道府県知事の権限について正しいのはどれか。2つ選べ。,施術所の実施状況について立入検査はできない。,柔道整復師の業務に関して指示をすることはできない。,犯罪捜査を目的とした施術所への立入検査はできない。,柔道整復師の免許を取り消すことはできない。,C,D,123,「施術所の実施状況について立入検査はできない。」は誤りで、立入検査はできる。「柔道整復師の業務に関して指示をすることはできない。」は誤りで、業務に関して指示できる。「犯罪捜査を目的とした施術所への立入検査はできない。」は正しく、犯罪捜査目的の立入検査はできない。「柔道整復師の免許を取り消すことはできない。」は正しく、免許の取消しは厚生労働大臣の権限であり都道府県知事にはできない。,,「施術所の実施状況について立入検査はできない。」は誤りで、立入検査はできる。「柔道整復師の業務に関して指示をすることはできない。」は誤りで、業務に関して指示できる。「犯罪捜査を目的とした施術所への立入検査はできない。」は正しく、犯罪捜査目的の立入検査はできない。「柔道整復師の免許を取り消すことはできない。」は正しく、免許の取消しは厚生労働大臣の権限であり都道府県知事にはできない。,1.0000000
4E 施術所,都道府県知事が施術所に命じることができないのはどれか．,一定期間の使用制限,当該構造設備の改善,当該衛生上の措置,施術管理者の交代,D,,123,都道府県知事が施術所に命じることができるのは、(1)使用制限・禁止、(2)構造設備の改善、(3)衛生上の措置。「施術管理者の交代」を命じる権限はない。,,都道府県知事が施術所に命じることができるのは、(1)使用制限・禁止、(2)構造設備の改善、(3)衛生上の措置。「施術管理者の交代」を命じる権限はない。,1.0000000
4E 施術所,施術所の構造設備について規定にないのはどれか。,手指等の消毒設備,冷暖房設備,6.6平方メートル以上の専用の施術室,3.3m平方メートル以上の待合室,B,,123,施術所の構造設備基準に規定されているのは、消毒設備、6.6平方メートル以上の専用施術室、3.3平方メートル以上の待合室、室面積7分の1以上の外気開放。冷暖房設備の規定はない。,,施術所の構造設備基準に規定されているのは、消毒設備、6.6平方メートル以上の専用施術室、3.3平方メートル以上の待合室、室面積7分の1以上の外気開放。冷暖房設備の規定はない。,1.0000000
4E 施術所,施術所の構造設備基準で正しいのはどれか。,7.7平方メートル以上の専用の施術室,5.5平方メートル以上の待合室,施術室は、室面積 6分の1以上に相当する面積を外気に開放,器具、手指等の消毒設備の設置。,D,,123,「7.7平方メートル以上の専用の施術室」は施術室は6.6平方メートル以上（7.7ではない）。「5.5平方メートル以上の待合室」は待合室は3.3平方メートル以上（5.5ではない）。「施術室は、室面積 6分の１以上に相当する面積を外気に開放」は外気開放は7分の1以上（6分の1ではない）。「器具、手指等の消毒設備の設置。」は器具、手指等の消毒設備の設置は正しい。,,「7.7平方メートル以上の専用の施術室」は施術室は6.6平方メートル以上（7.7ではない）。「5.5平方メートル以上の待合室」は待合室は3.3平方メートル以上（5.5ではない）。「施術室は、室面積 6分の１以上に相当する面積を外気に開放」は外気開放は7分の1以上（6分の1ではない）。「器具、手指等の消毒設備の設置。」は器具、手指等の消毒設備の設置は正しい。,1.0000000
4E 施術所,都道府県知事が施術所の開設者に命ずることができるのはどれか。,保険診療を行わせる。,施術所で業務に従事する柔道整復師の採用方法について報告させる。,開設者の経歴を広告させる。,立入検査に基づいて設備を改善させる。,D,,123,「保険診療を行わせる。」は保険診療を行わせる権限はない。「施術所で業務に従事する柔道整復師の採用方法について報告させる。」は採用方法の報告は権限外。「開設者の経歴を広告させる。」は経歴の広告を命じる権限はない。「立入検査に基づいて設備を改善させる。」は立入検査に基づき構造設備の改善を命じることができる。,,「保険診療を行わせる。」は保険診療を行わせる権限はない。「施術所で業務に従事する柔道整復師の採用方法について報告させる。」は採用方法の報告は権限外。「開設者の経歴を広告させる。」は経歴の広告を命じる権限はない。「立入検査に基づいて設備を改善させる。」は立入検査に基づき構造設備の改善を命じることができる。,1.0000000
4E 施術所,施術所への立入検査について正しいのはどれか。,都道府県知事が犯罪捜査のために行う。,厚生労働省医薬食品局の職員のみが行う。,立入検査には裁判所の許可を要する。,都道府県知事が指定した職員に行わせる。,D,,123,「都道府県知事が犯罪捜査のために行う。」は誤りで、立入検査は犯罪捜査目的ではない。「厚生労働省医薬食品局の職員のみが行う。」は誤りで、厚生労働省の職員ではなく都道府県の職員。「立入検査には裁判所の許可を要する。」は誤りで、裁判所の許可は不要。「都道府県知事が指定した職員に行わせる。」は正しく、都道府県知事が指定した職員に立入検査を行わせる。,,「都道府県知事が犯罪捜査のために行う。」は誤りで、立入検査は犯罪捜査目的ではない。「厚生労働省医薬食品局の職員のみが行う。」は誤りで、厚生労働省の職員ではなく都道府県の職員。「立入検査には裁判所の許可を要する。」は誤りで、裁判所の許可は不要。「都道府県知事が指定した職員に行わせる。」は正しく、都道府県知事が指定した職員に立入検査を行わせる。,1.0000000
4E 施術所,施術所の構造設備基準として正しいのはどれか。,専用の事務室を必要とする。,3.3平方メートル以上の待合室がある。,換気装置を設置しなければならない。,消毒設備の設置は任意である。,B,,123,「専用の事務室を必要とする。」は誤りで、専用の事務室の規定はない。「3.3平方メートル以上の待合室がある。」は正しく、3.3平方メートル以上の待合室が必要。「換気装置を設置しなければならない。」は誤りで、換気装置の設置義務はなく、換気を充分にすることが求められる。「消毒設備の設置は任意である。」は誤りで、消毒設備は必須であり任意ではない。,,「専用の事務室を必要とする。」は誤りで、専用の事務室の規定はない。「3.3平方メートル以上の待合室がある。」は正しく、3.3平方メートル以上の待合室が必要。「換気装置を設置しなければならない。」は誤りで、換気装置の設置義務はなく、換気を充分にすることが求められる。「消毒設備の設置は任意である。」は誤りで、消毒設備は必須であり任意ではない。,1.0000000
4E 施術所,施術所の開設届について正しいのはどれか。,開設者は柔道整復師でなければならない。,開設前に届け出なければならない。,開設の場所を記載しなければならない。,従業員の氏名と住所を記載しなければならない。,C,,123,「開設者は柔道整復師でなければならない。」は誤りで、開設者は柔道整復師でなくてもよい。「開設前に届け出なければならない。」は誤りで、開設前ではなく開設後10日以内に届出。「開設の場所を記載しなければならない。」は正しく、開設の場所（所在地）は届出事項。「従業員の氏名と住所を記載しなければならない。」は誤りで、従業員全員の住所は不要（柔道整復師の氏名のみ）。,,「開設者は柔道整復師でなければならない。」は誤りで、開設者は柔道整復師でなくてもよい。「開設前に届け出なければならない。」は誤りで、開設前ではなく開設後10日以内に届出。「開設の場所を記載しなければならない。」は正しく、開設の場所（所在地）は届出事項。「従業員の氏名と住所を記載しなければならない。」は誤りで、従業員全員の住所は不要（柔道整復師の氏名のみ）。,1.0000000
4E 施術所,施術所で正しいのはどれか。,待合室の設置は任意である。,施術室の面積は任意である。,換気設備の設置は必須である。,消毒設備の設置は必須である。,D,,123,「待合室の設置は任意である。」は誤りで、待合室の設置は必須（3.3平方メートル以上）。「施術室の面積は任意である。」は誤りで、施術室の面積は6.6平方メートル以上と規定。「換気設備の設置は必須である。」は誤りで、換気設備の設置義務の規定はない（換気を充分にする義務はある）。「消毒設備の設置は必須である。」は正しく、消毒設備の設置は必須。,,「待合室の設置は任意である。」は誤りで、待合室の設置は必須（3.3平方メートル以上）。「施術室の面積は任意である。」は誤りで、施術室の面積は6.6平方メートル以上と規定。「換気設備の設置は必須である。」は誤りで、換気設備の設置義務の規定はない（換気を充分にする義務はある）。「消毒設備の設置は必須である。」は正しく、消毒設備の設置は必須。,1.0000000
4F 雑則,柔道整復師の広告で正しいのはどれか。,施術料割引あり,捻挫によく効く治療院,海外にて10年間の研修あり,駐車場あり,D,,123,柔道整復師が広告できるのは法律で定められた事項に限定される。「施術料割引あり」は誤りで、広告不可。「捻挫によく効く治療院」は誤りで、効能・効果の広告であり不可。「海外にて10年間の研修あり」は誤りで、経歴であり不可。「駐車場あり」は正しく、広告可能（駐車設備に関する事項）。,,柔道整復師が広告できるのは法律で定められた事項に限定される。「施術料割引あり」は誤りで、広告不可。「捻挫によく効く治療院」は誤りで、効能・効果の広告であり不可。「海外にて10年間の研修あり」は誤りで、経歴であり不可。「駐車場あり」は正しく、広告可能（駐車設備に関する事項）。,1.0000000
4F 雑則,施術所の名称で使用できないのはどれか。,○○ほねつぎ,○○整骨治療院,○○柔道整復院,○○接骨院,B,,123,施術所の名称で使用できないのは、医療施設と紛らわしいもの。「整骨治療院」は「治療」の文言が医療行為を連想させるため不可。「ほねつぎ」「柔道整復院」「接骨院」は使用可能。,,施術所の名称で使用できないのは、医療施設と紛らわしいもの。「整骨治療院」は「治療」の文言が医療行為を連想させるため不可。「ほねつぎ」「柔道整復院」「接骨院」は使用可能。,1.0000000
4F 雑則,柔道整復の業務または施術所で広告できないのはどれか。,柔道整復関係学会の理事,出張による施術,ほねつぎ,駐車設備に関する事項,A,,123,柔道整復師が広告できるのは法定事項のみ。「柔道整復関係学会の理事」は学会の役職であり広告不可。出張施術、ほねつぎ（業務の種類）、駐車設備は広告可能。,,柔道整復師が広告できるのは法定事項のみ。「柔道整復関係学会の理事」は学会の役職であり広告不可。出張施術、ほねつぎ（業務の種類）、駐車設備は広告可能。,1.0000000
4F 雑則,使用できる名称で正しいのはどれか。,整骨医,整骨院,接骨医,接骨院,D,,123,使用できる名称は「接骨院」「ほねつぎ」「柔道整復院」など。「整骨医」「接骨医」は誤りで、「医」が付き医師と紛らわしいため不可。「整骨院」は誤りで、使用に議論があるが、「接骨院」が最も適切。,,使用できる名称は「接骨院」「ほねつぎ」「柔道整復院」など。「整骨医」「接骨医」は誤りで、「医」が付き医師と紛らわしいため不可。「整骨院」は誤りで、使用に議論があるが、「接骨院」が最も適切。,1.0000000
4F 雑則,柔道整復師が広告できないのはどれか。,出張による施術の実施,柔道整復師の氏名および住所,施術者の経歴,施術所の所在の場所および名称,C,,123,柔道整復師が広告できない事項は施術者の経歴。出張施術、柔道整復師の氏名・住所、施術所の所在地・名称は広告可能。,,柔道整復師が広告できない事項は施術者の経歴。出張施術、柔道整復師の氏名・住所、施術所の所在地・名称は広告可能。,1.0000000
4F 雑則,柔道整復師が広告できるのはどれか。,交通事故専門,腰痛治療に効果,予約に基づく施術の実施,柔道整復師関係学会の理事,C,,123,「交通事故専門」は広告不可（専門性の広告）。「腰痛治療に効果」は効能の広告で不可。「予約に基づく施術の実施」は広告可能。「柔道整復師関係学会の理事」は「学会の理事」は役職であり広告不可。,,「交通事故専門」は広告不可（専門性の広告）。「腰痛治療に効果」は効能の広告で不可。「予約に基づく施術の実施」は広告可能。「柔道整復師関係学会の理事」は「学会の理事」は役職であり広告不可。,1.0000000
4F 雑則,施術所の名称で医療法に違反するのはどれか。,柔道整復院,接骨院,整復治療院,ほねつぎ,C,,123,医療法に違反する施術所の名称は、病院・診療所と紛らわしいもの。「整復治療院」は「治療」の文言が医療行為を連想させ、医療法上の医療施設と紛らわしいため違反。,,医療法に違反する施術所の名称は、病院・診療所と紛らわしいもの。「整復治療院」は「治療」の文言が医療行為を連想させ、医療法上の医療施設と紛らわしいため違反。,1.0000000
4F 雑則,施術所として広告をすることができる事項で正しいのはどれか。,「ほねつぎ」,「腰痛によく効く」,「○○式牽引法」,「○○学校卒業」,A,,123,「ほねつぎ」は正しく、業務の種類として広告可能。「腰痛によく効く」は誤りで、効能の広告で不可。「○○式牽引法」は誤りで、施術方法の広告で不可。「○○学校卒業」は誤りで、経歴であり不可。,,「ほねつぎ」は正しく、業務の種類として広告可能。「腰痛によく効く」は誤りで、効能の広告で不可。「○○式牽引法」は誤りで、施術方法の広告で不可。「○○学校卒業」は誤りで、経歴であり不可。,1.0000000
4F 雑則,施術所の名称として使用することができるのはどれか。,○○診療所,○○医院,○○柔道整復クリニック,○○接骨院,D,,123,「診療所」「医院」「クリニック」は医療法上の医療施設の名称であり施術所には使用不可。「接骨院」は施術所の名称として使用可能。,,「診療所」「医院」「クリニック」は医療法上の医療施設の名称であり施術所には使用不可。「接骨院」は施術所の名称として使用可能。,1.0000000
4F 雑則,柔道整復師法で広告できるのはどれか。,案内地図,赤十字マーク,学会の認定事項,マッサージ実施,A,,123,「案内地図」は案内地図（経路案内）は広告可能。「赤十字マーク」は誤りで、使用は赤十字の標章及び名称等の使用の制限に関する法律で制限。「学会の認定事項」は誤りで、広告不可。「マッサージ実施」はマッサージはあん摩マッサージ指圧師の業務であり柔道整復師の広告に含められない。,,「案内地図」は案内地図（経路案内）は広告可能。「赤十字マーク」は誤りで、使用は赤十字の標章及び名称等の使用の制限に関する法律で制限。「学会の認定事項」は誤りで、広告不可。「マッサージ実施」はマッサージはあん摩マッサージ指圧師の業務であり柔道整復師の広告に含められない。,1.0000000
4F 雑則,柔道整復師法で広告できないのはどれか。,経路案内,駐車料金,学会の理事,予約施術の実施,C,,123,「経路案内」は誤りで、広告可能。「駐車料金」は誤りで、駐車設備に関する事項として広告可能。「学会の理事」は正しく、学会の役職は法定の広告可能事項に含まれないため広告不可。「予約施術の実施」は誤りで、広告可能。,,「経路案内」は誤りで、広告可能。「駐車料金」は誤りで、駐車設備に関する事項として広告可能。「学会の理事」は正しく、学会の役職は法定の広告可能事項に含まれないため広告不可。「予約施術の実施」は誤りで、広告可能。,1.0000000
4F 雑則,柔道整復師法で認められている広告はどれか。,連携病院を有する旨,施術所の開設届出済の旨,認定柔道整復師である旨,自費施術を専門とする旨,B,,123,「連携病院を有する旨」は誤りで、広告不可。「施術所の開設届出済の旨」は正しく、広告可能。「認定柔道整復師である旨」は誤りで、広告不可。「自費施術を専門とする旨」は誤りで、広告不可。,,「連携病院を有する旨」は誤りで、広告不可。「施術所の開設届出済の旨」は正しく、広告可能。「認定柔道整復師である旨」は誤りで、広告不可。「自費施術を専門とする旨」は誤りで、広告不可。,1.0000000
4F 雑則,施術所の名称として使用することができるのはどれか。,○○接骨医院,○○柔道整復科療院,ほねつぎ院,○○整骨クリニック,C,,123,「接骨医院」は「医院」が医療施設と紛らわしく不可。「柔道整復科療院」は「科」「療院」が不可。「整骨クリニック」は「クリニック」が不可。「ほねつぎ院」は使用可能。,,「接骨医院」は「医院」が医療施設と紛らわしく不可。「柔道整復科療院」は「科」「療院」が不可。「整骨クリニック」は「クリニック」が不可。「ほねつぎ院」は使用可能。,1.0000000
4F 雑則,柔道整復師法で広告できないのはどれか。,施術所の案内図,各種保険取扱い,予約施術の実施,駐車場の有無,B,,123,「施術所の案内図」は誤りで、広告可能。「各種保険取扱い」は広告可能事項に含まれていない（「医療保険療養費支給申請ができる旨」は可能だが「各種保険取扱い」は不可）。「予約施術の実施」は誤りで、広告可能。「駐車場の有無」は誤りで、広告可能。,,「施術所の案内図」は誤りで、広告可能。「各種保険取扱い」は広告可能事項に含まれていない（「医療保険療養費支給申請ができる旨」は可能だが「各種保険取扱い」は不可）。「予約施術の実施」は誤りで、広告可能。「駐車場の有無」は誤りで、広告可能。,1.0000000
4F 雑則,施術所として広告できる事項はどれか。,「○○学会会員」,「ほねつぎ」,「○○で5年間研修」,「○○式療法」,B,,123,「○○学会会員」は学会の所属であり広告不可。「ほねつぎ」は業務の種類として広告可能。「○○で5年間研修」は経歴であり広告不可。「○○式療法」は施術方法であり広告不可。,,「○○学会会員」は学会の所属であり広告不可。「ほねつぎ」は業務の種類として広告可能。「○○で5年間研修」は経歴であり広告不可。「○○式療法」は施術方法であり広告不可。,1.0000000
4F 雑則,柔道整復師が広告できないのはどれか。,駐車施設の位置,学会の役職名,出張施術の実施,施術所の名称,B,,123,「駐車施設の位置」は誤りで、広告可能。「学会の役職名」は正しく、広告不可。「出張施術の実施」は誤りで、広告可能。「施術所の名称」は誤りで、広告可能。,,「駐車施設の位置」は誤りで、広告可能。「学会の役職名」は正しく、広告不可。「出張施術の実施」は誤りで、広告可能。「施術所の名称」は誤りで、広告可能。,1.0000000
4F 雑則,施術所の名称として使用できるのはどれか。,○○接骨院,○○柔道整復クリニック,○○ほねつぎ科療院,○○整骨医院,A,,123,「接骨院」は使用可能。「柔道整復クリニック」は「クリニック」が不可。「ほねつぎ科療院」は「科」「療院」が不可。「整骨医院」は「医院」が不可。,,「接骨院」は使用可能。「柔道整復クリニック」は「クリニック」が不可。「ほねつぎ科療院」は「科」「療院」が不可。「整骨医院」は「医院」が不可。,1.0000000
4F 雑則,施術所の名称として使用できないのはどれか。,○○柔道整復院,○○接骨院,○○整骨院,○○ほねつぎ,C,,123,「柔道整復院」「接骨院」「ほねつぎ」は使用可能。「整骨院」は医療施設と紛らわしいとされ使用できないとする見解がある。,,「柔道整復院」「接骨院」「ほねつぎ」は使用可能。「整骨院」は医療施設と紛らわしいとされ使用できないとする見解がある。,1.0000000
